"U:0","U:1","U:2","k","nut","omega","p","Points:0","Points:1","Points:2"
-0.010047,1.1656e-06,-0.00010242,5.1013e-07,3.098e-11,23399,-0.063863,2.8184,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.062378,2.8664,-2.2469e-16,2.25
-0.010123,1.0346e-06,-8.212e-05,5.2063e-07,3.1819e-11,23399,-0.062378,2.8665,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.060847,2.9145,-5.5511e-17,2.25
-0.010184,8.9098e-07,-6.1415e-05,5.2983e-07,3.2597e-11,23399,-0.060846,2.9145,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.059271,2.9625,-5.5511e-17,2.25
-0.01023,7.5629e-07,-4.0257e-05,5.3776e-07,3.3313e-11,23399,-0.059271,2.9626,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.057656,3.0106,-5.5511e-17,2.25
-0.010262,6.2047e-07,-1.8646e-05,5.4444e-07,3.3968e-11,23399,-0.057655,3.0106,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.056002,3.0586,-5.5511e-17,2.25
-0.010281,4.9075e-07,3.457e-06,5.4988e-07,3.4563e-11,23399,-0.056002,3.0587,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.054314,3.1067,-5.5511e-17,2.25
-0.010287,3.2298e-07,2.602e-05,5.5414e-07,3.5098e-11,23399,-0.054314,3.1067,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.052594,3.1547,-5.5511e-17,2.25
-0.010279,2.3277e-07,4.9064e-05,5.5721e-07,3.5574e-11,23399,-0.052594,3.1547,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.050846,3.2028,-5.5511e-17,2.25
-0.01026,1.0276e-07,7.2543e-05,5.5913e-07,3.5991e-11,23399,-0.050845,3.2028,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.049071,3.2508,-5.5511e-17,2.25
-0.010229,-3.1737e-09,9.6575e-05,5.5995e-07,3.6352e-11,23399,-0.049071,3.2508,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.047273,3.2989,-5.5511e-17,2.25
-0.010186,-1.1907e-07,0.0001211,5.5973e-07,3.6659e-11,23399,-0.047273,3.2989,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.045455,3.3469,-5.5511e-17,2.25
-0.010133,-2.2725e-07,0.00014616,5.5852e-07,3.6912e-11,23399,-0.045455,3.3469,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.043619,3.3949,-5.5511e-17,2.25
-0.010069,-3.3621e-07,0.00017178,5.5636e-07,3.7114e-11,23399,-0.043618,3.395,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.041767,3.443,-5.5511e-17,2.25
-0.0099962,-4.4727e-07,0.000198,5.5331e-07,3.7267e-11,23399,-0.041767,3.443,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.039903,3.491,-5.5511e-17,2.25
-0.0099138,-5.5071e-07,0.00022485,5.4942e-07,3.7373e-11,23399,-0.039903,3.4911,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.038028,3.5391,-5.5511e-17,2.25
-0.0098226,-6.371e-07,0.00025234,5.4475e-07,3.7434e-11,23399,-0.038028,3.5391,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.036146,3.5871,-5.5511e-17,2.25
-0.0097231,-7.3611e-07,0.00028048,5.3936e-07,3.7451e-11,23399,-0.036146,3.5871,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.034258,3.6352,-5.5511e-17,2.25
-0.009616,-8.4258e-07,0.00030931,5.3331e-07,3.7429e-11,23399,-0.034257,3.6352,0.0008677,2.25
0,0,0,1e-10,0,40116,-0.032366,3.6832,-5.5511e-17,2.25
-0.0095015,-9.3124e-07,0.00033885,5.2665e-07,3.7368e-11,23399,-0.032365,3.6832,0.0008677,2.25
