y,T01_0,T01_1,T01_2,T01_3,T01_4,T01_5,T02_0,T02_1,T02_2,T02_3,T02_4,T02_5,T03_0,T03_1,T03_2,T03_3,T03_4,T03_5
0.52214518,-9.4690148e-18,-3.8041466e-18,1.0799564e-20,4.7345072e-18,0,4.7345072e-18,-1.8306189e-33,-6.0598613e-34,-4.986672e-37,1.8306183e-33,-8.4849274e-38,6.343457e-40,6.6468124e-34,-2.0199538e-34,-1.662224e-37,1.2531379e-34,-4.242464e-38,-7.8999502e-34
0.55435509,-6.9678353e-18,6.2430438e-18,4.5348471e-21,3.4839177e-18,0,3.4839177e-18,-9.393199e-34,-1.0932398e-34,-1.2564287e-37,9.3931877e-34,-4.5825289e-37,1.1370269e-39,3.0245078e-34,-3.6441327e-35,-4.1880957e-38,8.3604018e-35,-2.2912645e-37,-3.860548e-34
0.58849842,-2.9803614e-18,1.3974053e-17,6.1513159e-17,1.4901808e-18,0,1.4901808e-18,-2.5195891e-32,-2.06627e-34,-1.7821973e-33,7.8154067e-34,3.3986717e-33,2.4414349e-32,4.3194601e-33,-6.8875663e-35,-5.9406575e-34,-8.0679323e-33,1.6993359e-33,3.7484722e-33
0.62469124,-8.1027221e-18,3.0286754e-18,5.2481817e-18,4.0513613e-18,0,4.0513613e-18,-4.8200093e-32,2.2421745e-34,2.3779925e-34,1.4853847e-33,7.4662559e-33,4.6714709e-32,8.2605453e-33,7.4739147e-35,7.9266396e-35,-1.5437604e-32,3.733128e-33,7.1770583e-33
0.66305656,-9.1671549e-18,-1.068175e-17,-5.9433959e-17,4.5835776e-18,0,4.5835776e-18,-2.3231364e-32,4.9015087e-34,2.1663406e-33,9.9905051e-34,4.1369207e-33,2.2232314e-32,4.0345406e-33,1.6338362e-34,7.221135e-34,-7.3255861e-33,2.0684604e-33,3.2910455e-33
0.70372479,-3.8757756e-18,-1.9396852e-18,7.869236e-21,1.9378879e-18,0,1.9378879e-18,-9.5534199e-35,0,1.4317545e-37,9.5533231e-35,-9.5533231e-38,9.6182766e-40,5.9738603e-35,0,4.7725152e-38,-5.9862326e-36,-4.7766617e-38,-5.3752369e-35
0.74683417,0,5.476417e-18,1.0449158e-21,0,0,0,-2.4050507e-34,0,0,2.4050445e-34,0,6.2231617e-40,4.0084178e-35,0,0,4.0083867e-35,0,-8.0168046e-35
0.79253123,-8.9376412e-19,1.5843689e-17,-2.7820472e-21,4.4688201e-19,0,4.4688201e-19,-1.0992974e-33,-2.2051649e-34,3.8542913e-37,1.0992954e-33,-8.5756418e-37,1.9628759e-39,2.2726527e-34,-7.3505497e-35,1.2847637e-37,1.6119072e-34,-4.2878208e-37,-3.88456e-34
0.84097128,-7.9919929e-19,-3.1716239e-18,9.7134626e-21,3.9959959e-19,0,3.9959959e-19,-1.7763291e-33,-2.2180271e-34,3.9388384e-37,1.7763236e-33,-2.0931052e-36,5.5474073e-39,3.4107015e-34,-7.3934236e-35,1.3129461e-37,2.7354443e-34,-1.0465526e-36,-6.1461459e-34
0.892319,8.5154836e-19,-2.3032452e-17,8.1819302e-21,-4.2577418e-19,0,-4.2577418e-19,-1.2667607e-33,-2.3622882e-35,-4.1513724e-38,1.2667517e-33,-1.1656363e-36,8.9243005e-39,2.12918e-34,-7.8742942e-36,-1.3837908e-38,2.102267e-34,-5.8281815e-37,-4.2314471e-34
0.9467489,9.1598746e-19,2.5025407e-18,-1.4526054e-21,-4.5799373e-19,0,-4.5799373e-19,-1.0133648e-33,-2.5410365e-35,-3.7766347e-38,1.0133596e-33,5.3753582e-38,5.1760841e-39,1.7061445e-34,-8.4701217e-36,-1.2588782e-38,1.6803139e-34,2.6876792e-38,-3.3864584e-34
1.004446,4.285812e-18,8.9429298e-18,1.4666147e-20,-2.142906e-18,0,-2.142906e-18,-8.3197577e-34,0,0,8.3197384e-34,-4.8394616e-37,1.9357847e-39,1.7556802e-34,0,0,1.2020897e-34,-2.4197308e-37,-2.9577699e-34
1.0656064,7.6344135e-18,-7.1795157e-18,9.9027682e-18,-3.8172069e-18,0,-3.8172069e-18,-1.5556337e-33,-1.5884465e-34,-2.6781416e-34,2.4922013e-34,-9.5900971e-37,1.3064136e-33,4.2291763e-34,-5.2948216e-35,-8.9271389e-35,-4.7575719e-34,-4.7950486e-37,5.2839552e-35
1.1304381,1.2979191e-17,-3.0637746e-19,-1.8755544e-19,-6.4895955e-18,0,-6.4895955e-18,-2.6088847e-33,1.6969351e-34,1.5513817e-34,2.2682555e-34,-1.8875224e-35,2.3820592e-33,1.1109383e-33,5.6564507e-35,5.1712723e-35,-1.0942776e-33,-9.4376123e-36,-1.6660726e-35
1.1668563,1.4709398e-17,1.8488352e-18,-1.2358598e-17,-7.354699e-18,0,-7.354699e-18,-2.3111696e-33,2.653908e-34,8.0555341e-35,1.6555441e-34,-6.6221764e-37,2.1456152e-33,1.044307e-33,8.8463605e-35,2.6851781e-35,-1.0171687e-33,-3.3110882e-37,-2.7138304e-35
1.1991613,1.5607783e-17,3.4495924e-18,-2.2793896e-17,-7.8038913e-18,0,-7.8038913e-18,-2.4027188e-33,3.5966408e-34,-4.4076538e-35,1.194814e-34,-1.540692e-35,2.2832374e-33,1.0397387e-33,1.1988803e-34,-1.4692177e-35,-1.0608083e-33,-7.7034605e-36,2.1069689e-35
