x,y,z,U_0,U_1,U_2
2.36887,0.866126,0.05,0.0141206,-0.00202704,-2.55747e-24
2.36887,0.869165,0.05,0.0142078,-0.00203036,-3.92639e-24
2.36887,0.872204,0.05,0.0142939,-0.00203367,-5.50321e-24
2.36887,0.875243,0.05,0.0143799,-0.00203699,-7.08002e-24
2.36887,0.878282,0.05,0.0144671,-0.00203978,-4.89141e-23
2.36887,0.881321,0.05,0.0145543,-0.00204256,-9.24778e-23
2.36887,0.88436,0.05,0.0146415,-0.00204534,-1.36042e-22
2.36887,0.887399,0.05,0.0147288,-0.00204811,-1.79605e-22
2.36887,0.890438,0.05,0.0148172,-0.0020507,-2.42184e-22
2.36887,0.893477,0.05,0.014907,-0.00205305,-3.29532e-22
2.36887,0.896517,0.05,0.0149969,-0.00205539,-4.1688e-22
2.36887,0.899556,0.05,0.0150834,-0.00205778,-5.99613e-22
2.36887,0.902595,0.05,0.015167,-0.00206019,-8.6115e-22
2.36887,0.905634,0.05,0.0152506,-0.0020626,-1.12269e-21
2.36887,0.908673,0.05,0.0153346,-0.00206471,-1.20755e-21
2.36887,0.911712,0.05,0.015419,-0.00206659,-1.16782e-21
2.36887,0.914751,0.05,0.0155034,-0.00206848,-1.12809e-21
2.36887,0.91779,0.05,0.0155877,-0.00207037,-1.08835e-21
2.36887,0.920829,0.05,0.0156722,-0.00207222,-1.02445e-21
2.36887,0.923868,0.05,0.0157584,-0.00207363,-6.38934e-22
2.36887,0.926907,0.05,0.0158446,-0.00207504,-2.53418e-22
2.36887,0.929946,0.05,0.0159302,-0.00207646,1.25177e-22
2.36887,0.932985,0.05,0.0160107,-0.00207801,4.34433e-22
2.36887,0.936024,0.05,0.0160911,-0.00207956,7.4369e-22
2.36887,0.939063,0.05,0.0161715,-0.00208108,1.04089e-21
2.36887,0.942102,0.05,0.0162524,-0.00208213,1.04492e-21
2.36887,0.945141,0.05,0.0163332,-0.00208317,1.04894e-21
2.36887,0.94818,0.05,0.0164141,-0.00208422,1.05297e-21
2.36887,0.951219,0.05,0.016495,-0.00208526,1.05699e-21
2.36887,0.954258,0.05,0.0165763,-0.00208604,8.7662e-22
2.36887,0.957297,0.05,0.016658,-0.00208658,5.32276e-22
2.36887,0.960336,0.05,0.0167398,-0.00208712,1.87932e-22
2.36887,0.963375,0.05,0.0168192,-0.00208775,-1.58623e-22
2.36887,0.966414,0.05,0.0168959,-0.00208849,-5.07757e-22
2.36887,0.969453,0.05,0.0169726,-0.00208924,-8.56891e-22
2.36887,0.972492,0.05,0.0170493,-0.00208983,-1.09403e-21
2.36887,0.975532,0.05,0.017126,-0.0020901,-1.09809e-21
2.36887,0.978571,0.05,0.0172027,-0.00209037,-1.10216e-21
2.36887,0.98161,0.05,0.0172795,-0.00209064,-1.10623e-21
2.36887,0.984649,0.05,0.0173562,-0.00209091,-1.1103e-21
2.36887,0.987688,0.05,0.017433,-0.00209077,-8.84799e-22
2.36887,0.990727,0.05,0.0175098,-0.00209054,-6.08415e-22
2.36887,0.993766,0.05,0.0175866,-0.00209031,-3.32031e-22
2.36887,0.996805,0.05,0.0176605,-0.00209024,3.25205e-23
2.36887,0.999844,0.05,0.0177328,-0.00209026,4.41141e-22
2.36887,1.00288,0.05,0.0178052,-0.00209029,8.49762e-22
2.36887,1.00592,0.05,0.0178775,-0.00209011,1.07285e-21
2.36887,1.00896,0.05,0.0179497,-0.0020897,1.06815e-21
2.36887,1.012,0.05,0.0180218,-0.00208929,1.06344e-21
2.36887,1.01504,0.05,0.018094,-0.00208887,1.05873e-21
2.36887,1.01808,0.05,0.0181661,-0.00208846,1.05403e-21
2.36887,1.02112,0.05,0.0182376,-0.0020876,7.97797e-22
2.36887,1.02416,0.05,0.0183091,-0.00208671,5.26695e-22
2.36887,1.0272,0.05,0.0183805,-0.00208582,2.55593e-22
2.36887,1.03023,0.05,0.0184493,-0.00208514,1.31714e-22
2.36887,1.03327,0.05,0.018517,-0.00208453,6.70348e-23
2.36887,1.03631,0.05,0.0185847,-0.00208393,2.35536e-24
2.36887,1.03935,0.05,0.0186523,-0.00208316,-3.1299e-23
2.36887,1.04239,0.05,0.0187195,-0.00208217,-2.21066e-23
2.36887,1.04543,0.05,0.0187868,-0.00208117,-1.29143e-23
2.36887,1.04847,0.05,0.018854,-0.00208018,-3.72193e-24
2.36887,1.05151,0.05,0.0189213,-0.00207919,5.47042e-24
2.36887,1.05455,0.05,0.0189873,-0.0020778,4.25975e-23
2.36887,1.05759,0.05,0.0190532,-0.00207638,8.23786e-23
2.36887,1.06062,0.05,0.0191191,-0.00207495,1.2216e-22
2.36887,1.06366,0.05,0.0191832,-0.00207371,1.13064e-22
2.36887,1.0667,0.05,0.019246,-0.00207259,7.25398e-23
2.36887,1.06974,0.05,0.0193088,-0.00207147,3.20158e-23
2.36887,1.07278,0.05,0.0193715,-0.00207026,1.2831e-23
2.36887,1.07582,0.05,0.0194337,-0.00206879,5.90419e-23
2.36887,1.07886,0.05,0.0194959,-0.00206733,1.05253e-22
2.36887,1.0819,0.05,0.0195581,-0.00206586,1.51464e-22
2.36887,1.08494,0.05,0.0196203,-0.00206439,1.97674e-22
2.36887,1.08798,0.05,0.0196812,-0.00206265,1.95049e-22
2.36887,1.09102,0.05,0.0197416,-0.00206082,1.74663e-22
2.36887,1.09405,0.05,0.019802,-0.00205898,1.54277e-22
2.36887,1.09709,0.05,0.0198615,-0.00205726,1.48798e-22
2.36887,1.10013,0.05,0.0199194,-0.00205572,1.69697e-22
2.36887,1.10317,0.05,0.0199773,-0.00205419,1.90597e-22
2.36887,1.10621,0.05,0.0200353,-0.00205266,2.11496e-22
2.36887,1.10925,0.05,0.0200925,-0.00205085,1.31375e-22
2.36887,1.11229,0.05,0.0201496,-0.00204901,4.42946e-23
2.36887,1.11533,0.05,0.0202068,-0.00204718,-4.27861e-23
2.36887,1.11837,0.05,0.020264,-0.00204534,-1.29867e-22
2.36887,1.12141,0.05,0.0203203,-0.00204338,-2.15981e-22
2.36887,1.12444,0.05,0.0203754,-0.00204125,-3.00719e-22
